Name,Data
Name,My Data File
Common Name,
Species,
Region,
Current Year,
Previous TAC,
Units,
Previous TAE ,
nareas,
Biology,
Maximum age,
M,
CV M,
Von Bertalanffy Linf parameter,
CV von B. Linf parameter,
Von Bertalanffy K parameter,
CV von B. K parameter,
Von Bertalanffy t0 parameter,
CV von B. t0 parameter,
Length-weight parameter a,
CV Length-weight parameter a,
Length-weight parameter b,
CV Length-weight parameter b,
Steepness,
CV Steepness,
sigmaR,
Length at 50% maturity,
CV Length at 50% maturity,
Length at 95% maturity,
Selectivity,
Length at first capture,
CV Length at first capture,
Length at full selection,
CV Length at full selection,
Time-Series,
Year,
Catch,
CV Catch,
Abundance index,
CV Abundance index,
SpAbun index,
CV SpAbun index,
TotAbun index,
CV TotAbun index,
Index 1,
CV Index 1,
Vuln Index 1,
Index 2,
CV Index 2,
Vuln Index 2,
Recruitment index,
CV Recruitment index,
Mean length,
Modal length (Lc),
Mean length above Lc,
Catch-at-Age,
CAA,
Catch-at-Length,
CAL_bins,
CAL,
Reference,
FMSY/M,
CV FMSY/M,
BMSY/B0,
CV BMSY/B0,
Current stock depletion,
CV current stock depletion,
Current stock abundance,
CV current stock abundance,
Catch Reference,
CV Catch Reference,
Biomass Reference,
CV Biomass Reference,
Index Reference,
CV Index Reference,
Duration t,
Average catch over time t,
CV Average catch over time t,
Depletion over time t,
CV Depletion over time t,
Reference OFL,
Reference OFL type,
