Name,Mackerel,,,,,,,,,,,,
Year,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Catch,43.457,33.899,15.28,4.941,48.827,6.864,5.472,43.884,35.527,34.005,18.881,9.924,18.919
Abundance index,2.211,1.911,1.955,1.725,1.56,1.424,1.277,1.1,0.935,0.804,0.613,0.499,0.353
Duration t,13,,,,,,,,,,,,
Average catch over time t,23.03074512,,,,,,,,,,,,
Depletion over time t,0.180710371,,,,,,,,,,,,
M,0.13,,,,,,,,,,,,
FMSY/M,0.5,,,,,,,,,,,,
BMSY/B0,0.35,,,,,,,,,,,,
MSY,NA,,,,,,,,,,,,
BMSY,NA,,,,,,,,,,,,
Length at 50% maturity,95,,,,,,,,,,,,
Length at 95% maturity,115,,,,,,,,,,,,
Length at first capture,15.21,,,,,,,,,,,,
Length at full selection,60.21,,,,,,,,,,,,
Current stock depletion,0.297,,,,,,,,,,,,
Current stock abundance,66.465,,,,,,,,,,,,
Von Bertalanffy K parameter,0.168,,,,,,,,,,,,
Von Bertalanffy Linf parameter,155.23,,,,,,,,,,,,
Von Bertalanffy t0 parameter,-0.45,,,,,,,,,,,,
Length-weight parameter a,0.000006,,,,,,,,,,,,
Length-weight parameter b,3.154,,,,,,,,,,,,
Steepness,0.513,,,,,,,,,,,,
Maximum age,15,,,,,,,,,,,,
CV Catch,0.2,,,,,,,,,,,,
CV Depletion over time t,0.221,,,,,,,,,,,,
CV Average catch over time t,0.221,,,,,,,,,,,,
CV Abundance index,0.362,,,,,,,,,,,,
CV M,0.4,,,,,,,,,,,,
CV FMSY/M,0.2,,,,,,,,,,,,
CV BMSY/B0,0.045,,,,,,,,,,,,
CV current stock depletion,0.35,,,,,,,,,,,,
CV current stock abundance,0.35,,,,,,,,,,,,
CV von B. K parameter,0.1,,,,,,,,,,,,
CV von B. Linf parameter,0.05,,,,,,,,,,,,
CV von B. t0 parameter,0.1,,,,,,,,,,,,
CV Length at 50% maturity,0.2,,,,,,,,,,,,
CV Length at first capture,0.2,,,,,,,,,,,,
CV Length at full selection,0.2,,,,,,,,,,,,
CV Length-weight parameter a,0.1,,,,,,,,,,,,
CV Length-weight parameter b,0.1,,,,,,,,,,,,
CV Steepness,0.1,,,,,,,,,,,,
Sigma length composition,0.2,,,,,,,,,,,,
Units,thousand tonnes,,,,,,,,,,,,
Reference OFL,NA,,,,,,,,,,,,
Reference OFL type,NA,,,,,,,,,,,,
MPrec,NA,,,,,,,,,,,,
LHYear,2010,,,,,,,,,,,,
