Name,Cobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Catch,104.7041,112.2076,111.3035,128.2866,149.8358,137.8407,162.6785,191.1055,174.8697,205.1042,193.6927,211.9442,224.5489,243.4949,228.18,233.6636,234.335,243.5222,250.102,256.6638,265.3008,292.4982,306.8911,326.1419,348.4901,372.3603,366.9158,374.6132,383.2823,388.0752,386.9656,221.0598,351.1051,58.81046,467.757,780.5817,1172.018,425.6042,379.1633,524.9385,485.7943,812.2792,567.1677,378.9292,416.9975,736.258,1025.696,694.5527,549.7592,593.7511,639.5925,549.412,415.3012,1152.859,1196.393,1139.915,1272.444,832.8092,609.6495,1002.917,1081.082,508.2434
Abundance index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.71,0.81,0.36,0.36,0.71,1.18,0.88,0.81,0.55,1.72,1.34,1.05,1.19,1.32,0.56,0.94,0.86,0.9,1.28,1.34,0.9,1.11,1.08,1.08,0.94,1.54,1.96,0.93,0.88,0.94
Duration t,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average catch over time t,462.1364316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion over time t,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSY/M,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY/B0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
