Name,Gulf blue tilefish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,,,,,,,,,
Catch,8593,2468,1327,1816,387,0,4051,1360,3658,4976,10749,13014,12182,7855,18358,6952,66571,16556,9980,8205,10473,16517,38189,40594,24680,36851,47876,63224,42889,60308,39947,29002,85535,52702,38782,51014,46740,34049,46324,62866,46304,65755,62999,84149,53386,,,,,,,,,,,
Abundance index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437784,0.619062,0.803995,0.505964,0.978834,1.100601,0.51631,1.409594,0.472304,0.914954,0.541005,0.849812,1.091026,1.451889,1.864569,2.280721,1.161576,,,,,,,,,,,
Duration t,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average catch over time t,53103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion over time t,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSY/M,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY/B0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 50% maturity,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 95% maturity,531.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at first capture,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at full selection,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL_bins,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810
CAL 1990,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0,3,2,3,1,2,1,3,1,0,2,1,3,5,1,0,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CAL 1991,0,0,0,0,0,0,1,0,2,0,1,0,2,5,3,5,0,3,0,2,2,4,7,8,5,3,7,8,7,16,5,6,7,5,6,3,4,7,2,3,0,5,0,1,2,0,0,0,1,0,0,0,0,0,0,
CAL 1992,0,0,0,0,0,0,0,0,0,0,2,1,3,1,4,4,1,3,2,8,2,1,7,6,2,11,5,2,5,4,3,6,1,3,6,5,2,1,4,0,5,3,1,1,0,0,1,0,0,0,0,0,0,0,0,
CAL 1993,0,0,0,0,0,0,0,0,1,0,1,5,2,1,3,1,5,6,3,5,1,4,2,1,1,8,5,0,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CAL 1994,0,0,0,0,0,0,2,3,2,1,2,4,1,2,10,2,1,1,1,4,3,2,4,2,4,4,2,5,4,4,0,2,2,0,2,1,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
CAL 1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,5,2,2,0,2,4,2,3,0,0,1,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
CAL 1996,0,0,0,0,0,0,0,1,0,0,1,1,0,6,7,10,8,16,15,11,25,18,16,25,21,19,21,13,11,14,11,20,11,9,8,7,5,7,1,2,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
CAL 1997,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,2,1,0,5,5,0,5,3,3,2,7,4,3,1,3,2,3,3,4,2,2,1,2,0,1,1,2,0,0,0,0,1,0,0,0,
CAL 1998,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,3,3,2,4,6,3,3,6,0,3,1,8,7,9,1,3,0,3,2,3,1,0,2,0,2,0,0,0,0,0,0,0,
CAL 1999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,5,7,3,12,5,11,9,14,16,10,10,12,15,8,16,14,2,9,7,14,3,10,5,7,0,2,0,2,0,1,1,0,0,0,1,0,2,0,
CAL 2000,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,2,1,0,5,2,5,6,7,3,5,8,4,3,4,2,3,4,3,3,4,4,5,2,3,2,1,3,2,0,2,0,0,0,0,0,1,0,0,
CAL 2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,4,1,11,1,3,5,8,5,1,3,4,1,1,4,1,3,5,4,4,4,2,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,
CAL 2002,0,0,0,0,0,0,0,0,1,0,1,3,1,1,2,3,3,0,2,3,2,2,1,2,4,0,3,2,3,1,0,2,2,3,6,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CAL 2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,3,1,2,2,1,2,3,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
CAL 2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,
CAL 2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,1,2,2,2,1,3,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,
CAL 2006,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
CAL 2007,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
CAL 2008,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,3,2,1,3,4,3,4,1,2,4,0,3,4,1,3,1,4,1,0,0,2,0,1,0,1,1,0,0,2,1,1,0,0,2,0,0,1,0,0,1,
CAL 2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Current stock depletion,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current stock abundance,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
