Name,Simulation 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Catch,4.275056752,12.43761495,14.63191539,35.31725394,28.69802196,30.84651246,24.14059128,36.78334663,29.27517056,38.18088403,59.30242199,56.08995065,37.96849264,51.8498459,60.76728571,41.53713009,39.31114499,57.96729749,57.22480235,72.3759643,80.69300566,76.63557955,59.37686876,48.826432,50.38803043,80.7115831,53.35875091,74.31955041,48.8308182,43.34800094,65.17863706,49.94281374,47.38491903,45.23196578,80.92437965,51.9147725,29.36491049,43.4483432,49.46922911,50.33216605,49.5363895,39.28778919,27.31766998,38.97091577,51.10539914,37.3467658,37.3312809,24.24093859,23.47755903,21.08158371
Abundance index,1.730103274,1.715239953,1.399917084,2.254696132,1.268911953,1.34004392,1.382141942,1.277060997,1.771903744,1.241875684,1.231473607,1.846216108,2.286995396,1.133766432,1.477416476,1.176190693,1.478541786,1.390638395,1.268616785,1.614776479,0.913272095,1.206518925,0.862865103,0.878886365,0.941607682,1.282554575,1.014708663,1.020748322,0.97062671,0.763475203,0.681926593,0.883245626,0.593792919,0.822317381,0.598984436,0.611922672,0.761036918,0.565960991,0.797255952,0.403553488,0.39657564,0.285301194,0.378851156,0.505072133,0.382539207,0.319054408,0.221500212,0.16645783,0.236129695,0.246731072
Duration t,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average catch over time t,45.36715505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion over time t,0.114734973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,0.224473505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSY/M,0.787467686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY/B0,0.479657985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 50% maturity,23.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 95% maturity,28.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at first capture,15.16869076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
