Name,ourReefFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Catch,1.3349,1.456,1.6616,1.5583,2.2303,2.0837,2.2624,2.093,2.1209,1.8315,2.0909,2.1203,1.8268,1.7317,1.5982,1.5192,1.4617,1.4333,1.5479,1.5258,2.0889,2.1947,2.1187,1.625,1.449,1.5024,1.5714,1.6083,1.558,1.8285,1.0462,1.4199,1.2966,1.3197,1.1569,0.9989,0.7534,0.8562,1.398,1.9962,1.6891,1.4675,1.5445,1.9411,1.7104,2.0694,3.8964,2.7506,3.0946,2.7368,3.0827,2.2033,2.3382,3.3156,2.219
Abundance index,0.163274857,0.138473168,0.147867881,0.157110667,0.146300913,0.152500149,0.127353494,0.142040327,0.126687883,0.129528055,0.132039523,0.114403814,0.114176896,0.111422577,0.100327512,0.106327816,0.102041513,0.090878666,0.088540987,0.090624138,0.092289233,0.076592128,0.080647072,0.076667391,0.077521936,0.072713461,0.064744008,0.063820698,0.062342699,0.059529323,0.049367259,0.04864497,0.041714552,0.042942233,0.034951253,0.031084484,0.03109713,0.029501924,0.025818811,0.020732089,0.017399272,0.013310635,0.01989,0.01282,0.04366,0.0745,0.00738,0.02927,0.03259,0.04855,0.05216,0.04068,0.03715,0.07019,0.08902
Duration t,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average catch over time t,1.842445455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion over time t,0.545215605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSY/M,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY/B0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 50% maturity,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 95% maturity,52.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at first capture,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at full selection,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1991,0,8.413793103,41.36781609,5.609195402,3.505747126,1.402298851,0.701149425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 1992,0,3.095105596,90.04847773,20.02271081,13.38162864,0,0.290415446,0.290415446,0.290415446,0.580830892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 1993,0,4.747497459,60.76796747,63.77746371,12.75253466,4.207039236,2.848498475,0,0,0,0.949499492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949499492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 1994,0,0,55.7901577,36.82760749,26.5651503,9.431754957,6.653667611,0,0,0,0,0,0.365830973,0,0,0,0,0,0,0,0,0,0,0,0.365830973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 1995,0,7.094467056,41.75252225,29.58642893,7.396607232,2.113316352,0,0,0,0,1.056658176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 1996,0,0,6.666666667,2.222222222,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 1997,0,0,0.021835868,0.034937388,0.004367174,0.004367174,0.002183587,0,0.93230881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 1998,0,0,12.70972442,71.8062431,34.14854655,19.51345517,2.439181897,3.252242529,0.813060632,0,0,0,0.813060632,0,0,0,0.813060632,0,0.813060632,0,0.813060632,0.813060632,0,0,0,0,0.813060632,0,0,0.813060632,0.813060632,0,0.813060632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 1999,0,1.009804415,99.54288445,189.5932066,120.3923167,47.17563909,29.14174382,13.05616529,6.058826488,1.009804415,2.019608829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2000,0,4.015368801,217.3089865,308.5353926,236.1415099,59.90652947,13.65225392,4.818442561,4.015368801,0,1.60614752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2001,0,26.35851252,200.850057,394.9379805,286.7771877,151.4089283,55.44376772,17.26937027,9.089142249,9.06915555,4.524584425,1.81782845,0,0,0,0,1.81782845,0,0,0,0,0,0,0,0.908914225,0,0,0,0.908914225,0,0,0,0,0.908914225,0,0.908914225,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2002,0,7.173675411,283.0071266,174.3771847,82.14421511,25.44374327,23.73000105,3.074432319,0,0,1.024810773,0,0,0,0,0,0,0,0,0.512405386,0,0.512405386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2003,0,9.869637569,216.4799497,226.635977,115.1090724,30.3094868,13.8174926,5.428300663,0.986963757,1.480445635,0.493481878,1.973927514,0.493481878,0,0,0.986963757,0.493481878,0.493481878,0.493481878,0,0,0.493481878,0,0,0.493481878,0.493481878,0,0,0.493481878,0.493481878,0.493481878,0,0.493481878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2004,0.985280083,28.6772842,305.9661486,359.8047578,201.2788262,61.71233591,16.85392321,9.956962625,7.882240665,0,0.985280083,1.970560166,3.941120333,0,0,0.985280083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2005,0,2.925828747,234.857087,276.1039775,142.7650134,114.2975132,26.3641574,9.568273466,2.340662998,2.925828747,1.170331499,1.170331499,0,1.755497248,0.585165749,0,0,0,0.585165749,0,0,0,0,0,0,0,0,0,0.585165749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2006,1.487417714,14.87417714,342.4670777,404.5437436,151.2158623,112.2349315,54.5771148,20.69627953,7.001449907,2.974835428,0.743708857,0.743708857,0.743708857,2.539196765,0,0.743708857,2.539196765,0.743708857,1.795487908,0,1.795487908,0,0,0,0,0,0,0,0.743708857,0,0,0,0,0,0,0,0,0,0,0,0,1.795487908,0,0,0,0,0,0,,,,,,,
CAA 2007,0,80.84616234,463.1060954,422.2028531,98.83204469,19.60202635,7.055806758,0.785003783,0.785003783,0,0,0,0,0,0.785003783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2008,0,16.36140145,70.13200423,95.01801343,37.34505131,13.92494989,0,0,0,0,0.218579686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2009,0,25.90663779,428.1645191,478.1609341,242.1564747,77.39705013,22.389674,3.809747297,0,2.227291677,1.113645838,0,0.674025365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2010,0,6.376865672,241.4927852,644.45942,537.0603112,212.2760374,51.67018644,9.869660871,4.63711612,1.157617018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CAA 2011,0,16.90562437,253.0073619,399.0840495,571.80257,319.2274292,104.0872604,25.20648889,8.838852688,0.953290275,0.317763425,1.251545963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317763425,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Current stock depletion,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current stock abundance,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy K parameter,0.1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy Linf parameter,85.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy t0 parameter,-0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length-weight parameter a,1.67E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
